smiles,scaffold,IC50,std_units,pIC50,alogp,hba,hbd,full_mwt,num_ro5_violations,psa,heavy_atoms,document_chembl_id,molecule_chembl_id,Scores_Ledock,Scores_Vina,Scores_MOE
COc1cc2c(NC3CCCC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NC3CCCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,1790,nM,5.747146969,6.03,6,1,449.6,1,59.76,33,CHEMBL4190398,CHEMBL4216799,-8.51,-8.645,-9.6221294
COc1cc2c(OC3CCN(C)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(OC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,1870,nM,5.728158393,5.15,7,0,479.62,1,60.2,35,CHEMBL4190398,CHEMBL4206071,-7.82,-8.928,-9.3494673
COc1cc2c(NC3CCN(C(C)C)CC3)nc(C3CCCCC3)nc2cc1OCCCN1CCCC1,c1cc2c(NC3CCNCC3)nc(C3CCCCC3)nc2cc1OCCCN1CCCC1,2010,nM,5.696803943,5.84,7,1,509.74,2,62.75,37,CHEMBL4130634,CHEMBL1231795,-8.27,-9.48,-9.4522543
O=C(NO)C1CCN(CC(O)COC(Cn2c3ccccc3c3ccccc32)Cn2c3ccccc3c3ccccc32)CC1,c1ccc2c(c1)c1ccccc1n2CC(Cn1c2ccccc2c2ccccc21)OCCCN1CCCCC1,2020,nM,5.694648631,5.57,7,3,590.72,2,91.89,44,CHEMBL4818986,CHEMBL4878570,-9.56,-11.024,-10.005484
COc1cc2c(NC3CCN(c4ncc(C(=O)NO)cn4)CC3)cc(C)nc2cc1OCCCN1CCCC1,c1cnc(N2CCC(Nc3ccnc4cc(OCCCN5CCCC5)ccc34)CC2)nc1,2040,nM,5.690369833,3.41,10,3,535.65,1,124.97,39,CHEMBL4834403,CHEMBL4863011,-9.06,-10.302,-9.7128181
Cc1ccc(-c2cc(NC3CCN(C)CC3)c3cc(OC(F)(F)F)c(OCCCN4CCCC4)cc3n2)o1,c1coc(-c2cc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,2080,nM,5.681936665,6.07,7,1,532.61,2,63,38,CHEMBL4190398,CHEMBL4214834,-8.75,-8.961,-9.573885
COc1cc2nc(-c3ccc(C)o3)cc(NCC3CCN(c4ncc(C(=O)NO)cn4)CC3)c2cc1OC,c1cnc(N2CCC(CNc3cc(-c4ccco4)nc4ccccc34)CC2)nc1,2160,nM,5.665546249,4.06,10,3,518.57,1,134.87,38,CHEMBL4834403,CHEMBL4856110,-8.59,-9.421,-10.567563
COc1cc2c(NC3CCN(C)CC3)nc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2nc(NC3CCNCC3)c3ccc(OCCCN4CCCC4)cc3n2)c1,2250,nM,5.647817482,4.58,8,1,479.63,0,75.89,35,CHEMBL4130634,CHEMBL4170228,-8.63,-9.178,-9.0902119
COc1cc2c(NCc3ccc([C@H]4CC[C@H](C(=O)NO)CC4)cc3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1coc(-c2cc(NCc3ccc(C4CCCCC4)cc3)c3ccc(OCCCN4CCCC4)cc3n2)c1,2270,nM,5.643974143,7.07,8,3,612.77,2,109.09,45,CHEMBL4834403,CHEMBL4856508,-8.44,-9.686,-10.494713
COc1cc(NC2CCN(C)CC2)c2cc(OC)c(OCCCN3CCCC3)cc2n1,c1cc(NC2CCNCC2)c2ccc(OCCCN3CCCC3)cc2n1,2290,nM,5.640164518,3.62,7,1,428.58,0,59.09,31,CHEMBL4130634,CHEMBL4171275,-7.62,-7.686,-8.5144033
COc1cc2c(NCc3ccc(-c4ccc(C(=O)NO)cc4)cc3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,c1ccc(-c2ccc(CNc3cc(-c4ccco4)nc4cc(OCCCN5CCCC5)ccc34)cc2)cc1,2570,nM,5.590066877,7.07,8,3,606.72,2,109.09,45,CHEMBL4834403,CHEMBL4866673,-9.18,-9.76,-9.8952522
